name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
South Africa,Africa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Spain,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sweden,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Switzerland,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Taiwan,Asia,7,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
Tanzania,Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Thailand,Asia,9,9,9,9,9,9,9,9,9,9,9,-5,-1,4,4,4,7
Trinidad and Tobago,North America,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tunisia,Africa,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,
Turkey,Asia,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9
Uganda,Africa,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1
Ukraine,Europe,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,6,6
United Kingdom,Europe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
United States,North America,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uruguay,South America,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uzbekistan,Asia,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Venezuela,South America,8,8,8,8,7,7,6,6,6,6,6,5,5,5,-3,-3,-3
Vietnam,Asia,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Yemen,Asia,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Zambia,Africa,6,1,1,1,1,1,5,5,5,5,5,5,5,7,7,7,7
Zimbabwe,Africa,-6,-6,-6,-6,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1
