name,group,Labour Unions,The Press,Womens Organizations,The Police,The Parliament,The Church,Political Parties,The Armed Forces,Television,The Government,The Civil Services
Spain,Europe,0.3220,0.4299,0.4359,0.6211,0.3660,0.4894,0.1865,0.4345,0.3939,0.3100,0.4179
Sweden,Europe,0.4449,0.2870,0.5107,0.8109,0.4462,0.4944,0.2850,0.5444,0.4888,0.4233,0.4520
Switzerland,Europe,0.3740,0.2215,0.3855,0.6859,0.4386,0.3891,0.2728,0.4990,0.3128,0.5223,0.4578
Turkey,Asia,0.5397,0.4938,0.7581,0.7248,0.5255,0.7009,0.2942,0.9422,0.5021,0.5180,0.6807
Ukraine,Europe,0.3882,0.4351,0.6204,0.3747,0.3779,0.6704,0.2024,0.6801,0.4784,0.4369,0.4277
Macedonia,Europe,0.1473,0.1765,0.2941,0.2666,0.1572,0.3120,0.1141,0.3868,0.2177,0.2009,0.1924
United States,North America,0.3444,0.2743,0.5304,0.7121,0.3038,0.7594,0.2123,0.8641,0.2935,0.3056,0.5186
Uruguay,Europe,0.3866,0.6080,0.4910,0.5320,0.4180,0.5580,0.3650,0.3810,0.5696,0.4164,0.4484
Venezuela,South America,0.2721,0.5898,0.4334,0.3003,0.2337,0.7432,0.1457,0.5974,0.5308,0.2669,0.3114
Serbia,Europe,0.2532,0.2262,0.3436,0.4454,0.3198,0.3826,0.1734,0.6163,0.2518,0.3541,0.3267
Montenegro,Europe,0.3464,0.3337,0.3665,0.5484,0.4524,0.3831,0.2354,0.6130,0.4091,0.4801,0.4775
Bosnia,Europe,0.5894,0.5159,0.6096,0.8516,0.5446,0.6667,0.4309,0.9119,0.5920,0.6906,0.6155
