name,group,Labour Unions,The Press,Womens Organizations,The Police,The Parliament,The Church,Political Parties,The Armed Forces,Television,The Government,The Civil Services
Argentina,South America,0.0742,0.3632,0.3953,0.2136,0.1361,0.5553,0.0776,0.3207,0.3313,0.3792,0.0812
Australia,Oceania,0.2789,0.1146,0.6111,0.8316,0.3405,0.3849,0.1386,0.8367,0.1817,0.3961,0.3886
Brazil,South America,0.4549,0.4335,0.6615,0.4481,0.2495,0.7743,0.2103,0.6973,0.4165,0.4627,0.5239
Bulgaria,Europe,0.2239,0.5084,0.4125,0.5483,0.2091,0.6084,0.1729,0.7245,0.6717,0.3409,0.4217
Canada,North America,0.3204,0.3378,0.7295,0.8170,0.3809,0.5967,0.2344,0.7195,0.3242,0.3925,0.5571
Chile,South America,0.3674,0.4442,0.5793,0.5714,0.2453,0.6959,0.1786,0.5814,0.4684,0.4688,0.3498
China,Asia,0.7151,0.7078,0.8449,0.7840,0.9166,0.3990,0.8636,0.9152,0.7503,0.9241,0.8562
Taiwan,Asia,0.2571,0.1657,0.5637,0.3739,0.1403,0.3059,0.1017,0.4216,0.1314,0.3246,0.4014
Colombia,South America,0.2796,0.4439,0.4376,0.4980,0.2532,0.8040,0.1931,0.6106,0.4729,0.5101,0.3187
Cyprus,Asia,0.4032,0.3477,0.4457,0.6486,0.4900,0.6587,0.3236,0.6787,0.3737,0.5450,0.5381
Ethiopia,Africa,0.2626,0.2652,0.4472,0.3208,0.2409,0.6077,0.3909,0.4143,0.2778,0.2638,0.3299
Finland,Europe,0.6255,0.3320,0.6315,0.9169,0.5610,0.6424,0.2831,0.8785,0.5160,0.6424,0.6008
France,Europe,0.3874,0.3848,0.4893,0.7126,0.3547,0.4712,0.1640,0.6836,0.3468,0.2913,0.5430
Georgia,Asia,0.2667,0.3122,0.4640,0.4717,0.2495,0.9425,0.1817,0.6955,0.3347,0.3315,0.4053
Germany,Europe,0.3210,0.2935,0.5729,0.7381,0.2189,0.3763,0.1282,0.5011,0.3422,0.2343,0.3098
Ghana,Africa,0.5027,0.5632,0.6705,0.5475,0.6489,0.9028,0.4067,0.7636,0.7090,0.7130,0.6168
Guatemala,South America,0.2269,0.4522,0.5041,0.2518,0.1168,0.8534,0.1198,0.3704,0.4844,0.3628,0.1531
Hungary,Europe,0.2706,0.2131,0.5817,0.4727,0.1726,0.4786,0.0917,0.4015,0.3280,0.1673,0.4486
India,Asia,0.5450,0.7581,0.6469,0.6411,0.6237,0.8350,0.4642,0.8333,0.7489,0.5486,0.5434
Indonesia,Asia,0.4509,0.5193,0.6696,0.5066,0.3676,0.9438,0.3054,0.7436,0.6151,0.5598,0.5631
Iran,Asia,0.2585,0.2898,0.3567,0.5596,0.4149,0.7497,0.2083,0.5766,0.4442,0.4874,0.3044
Italy,Europe,0.3416,0.2515,0.4114,0.7823,0.3306,0.7477,0.1651,0.6823,0.1724,0.2643,0.4089
Japan,Asia,0.3773,0.7467,0.4002,0.6694,0.2319,0.0890,0.1826,0.7468,0.6956,0.3102,0.3275
Jordan,Asia,0.6244,0.6875,0.6523,0.9234,0.6467,0.9406,0.3376,0.9661,0.6904,0.8679,0.6175
South Korea,Asia,0.4344,0.6426,0.6840,0.5866,0.2620,0.4895,0.2422,0.5195,0.6687,0.4569,0.6276
Malaysia,Asia,0.6406,0.6370,0.6994,0.7460,0.6764,0.9081,0.5830,0.8442,0.7190,0.7548,0.6984
Mali,Africa,0.5607,0.5683,0.7006,0.6717,0.5696,0.9293,0.3667,0.8333,0.6309,0.7054,0.6198
Mexico,North America,0.3080,0.5010,0.6455,0.3357,0.2554,0.7028,0.2396,0.6371,0.4701,0.4475,0.2505
Moldova,Europe,0.2492,0.4063,0.3879,0.2435,0.2805,0.7016,0.2085,0.3673,0.5065,0.3276,0.1403
Morocco,Europe,0.4192,0.4983,0.5655,0.6140,0.4441,0.9094,0.3604,0.6846,0.5682,0.5469,0.5128
Netherlands,Europe,0.4790,0.3248,0.5013,0.5951,0.2965,0.2974,0.2334,0.4514,0.3689,0.2711,0.3123
New Zealand,Oceania,0.2810,0.2706,0.4183,0.7565,0.3461,0.4086,0.1481,0.7263,0.3641,0.4105,0.4391
Norway,Europe,0.6592,0.3622,0.5798,0.8725,0.6234,0.5050,0.2859,0.6516,0.4909,0.5408,0.6131
Peru,South America,0.1379,0.1875,0.4963,0.1584,0.0773,0.5191,0.0461,0.2244,0.1892,0.1181,0.0614
Poland,Europe,0.2837,0.3783,0.5391,0.4704,0.1215,0.7267,0.0707,0.6737,0.3958,0.1798,0.1811
Romania,Europe,0.2980,0.4315,0.4867,0.3975,0.1712,0.8804,0.1295,0.8217,0.5412,0.2660,0.2997
Russia,Europe,0.3870,0.3686,0.6042,0.3337,0.2989,0.6751,0.2200,0.6656,0.4544,0.4520,0.5296
Serbia,Europe,0.1850,0.2094,0.4387,0.3498,0.2058,0.6175,0.1291,0.5169,0.1865,0.2565,0.2310
Vietnam,Asia,0.9102,0.8918,0.9650,0.9127,0.9876,0.5436,0.9374,0.9775,0.9503,0.9825,0.8931
