name,group,Labour Unions,The Press,Womens Organizations,The Police,The Parliament,The Church,Political Parties,The Armed Forces,Television,The Government,The Civil Services
Slovenia,Europe,0.2845,0.2781,0.3848,0.3833,0.1642,0.3426,0.0896,0.3750,0.3415,0.2393,0.1681
SouthAfrica,Africa,0.4907,0.6087,0.6731,0.6193,0.6553,0.8488,0.4378,0.6388,0.7424,0.7074,0.5591
Spain,Europe,0.2968,0.4158,0.5836,0.6408,0.5078,0.3242,0.2848,0.5321,0.3445,0.4510,0.4118
Sweden,Europe,0.5240,0.3320,0.4925,0.7773,0.5629,0.5596,0.3320,0.4687,0.5496,0.4247,0.6651
Switzerland,Europe,0.4032,0.3528,0.6135,0.8352,0.5403,0.4515,0.2610,0.5118,0.3451,0.6711,0.6515
Thailand,Asia,0.3390,0.4389,0.3897,0.4343,0.3273,0.6937,0.2332,0.5145,0.4759,0.3854,0.4389
Trinidad and Tobago,Africa,0.2798,0.2042,0.5138,0.2804,0.1617,0.5010,0.0982,0.3935,0.2349,0.2667,0.3378
Turkey,Asia,0.4275,0.3135,0.6293,0.7207,0.6143,0.7176,0.3438,0.8631,0.3350,0.6367,0.5690
Ukraine,Asia,0.3949,0.4702,0.5042,0.3402,0.1986,0.7277,0.1732,0.5881,0.5305,0.3030,0.4874
United Kingdom,Europe,0.3013,0.1366,0.6751,0.7236,0.3629,0.4573,0.1784,0.7861,0.3160,0.3375,0.4576
United States,North America,0.2958,0.2386,0.5146,0.7035,0.2061,0.6636,0.1531,0.8235,0.2534,0.3817,0.4151
Burkina Faso,Africa,0.5327,0.5379,0.7123,0.5263,0.3878,0.7988,0.2857,0.6959,0.5798,0.4904,0.5847
Uruguay,Europe,0.3240,0.5041,0.6778,0.5297,0.4734,0.5045,0.3638,0.3932,0.5071,0.6138,0.2352
Zambia,Africa,0.3257,0.4910,0.5153,0.4503,0.4136,0.8725,0.2697,0.5534,0.5479,0.4225,0.4058
